street_address,city,state,zip5,geocode_score,geocode_precision,latitude,longitude
"61 FARRAND RD",PRINCETON,NJ,08540,0.965,range,40.342884,-74.680464
"61 FARRAND RD",PRINCETON,NJ,08540,0.965,range,40.342884,-74.680464
"15 PALMER SQUARE WEST",PRINCETON,NJ,08542,1.0,range,40.350573,-74.662031
"37 STONEWALL CIR",PRINCETON,NJ,08540,0.965,range,40.381312,-74.673829
"0 EISENHOWER ST 219B",PRINCETON,NJ,08540,0.576,street,40.34964,-74.637791
"19 EDWARDS PL 2",PRINCETON,NJ,08540,0.936,range,40.346921,-74.662012
"95 CRESTVIEW DR",PRINCETON,NJ,08540,0.965,range,40.37184,-74.66813
"25 LINDEN LN",PRINCETON,NJ,08540,0.965,range,40.354052,-74.649628
"69 PRETTY BROOK RD",PRINCETON,NJ,08540,0.965,range,40.358059,-74.689348
"13 NEWLIN RD",PRINCETON,NJ,08540,0.965,range,40.335288,-74.663702
"13 NEWLIN RD",PRINCETON,NJ,08540,0.965,range,40.335288,-74.663702
"126 JOHN ST 3",PRINCETON,NJ,08542,0.958,range,40.351974,-74.663011
"208 EWING ST",PRINCETON,NJ,08540,0.965,range,40.35862,-74.650372
"69 PRETTY BROOK RD",PRINCETON,NJ,08540,0.965,range,40.358059,-74.689348
"180 LAUREL CIR",PRINCETON,NJ,08540,0.965,range,40.370862,-74.661548
"283 PROSPECT AVE",PRINCETON,NJ,08540,0.965,range,40.352263,-74.639247
"33 BRAEBURN DR",PRINCETON,NJ,08540,0.965,range,40.365728,-74.643343
"168 HICKORY CT",PRINCETON,NJ,08540,0.965,range,40.361938,-74.657358
"0 KING ST 219D",PRINCETON,NJ,08540,0.532,street,40.34918,-74.638797
"125 310 ELM RD",PRINCETON,NJ,08540,0.855,range,40.34629,-74.674583
"6 LAWRENCE DR 104",PRINCETON,NJ,08540,0.74,range,40.359082,-74.647796
"0 KING ST 219D",PRINCETON,NJ,08540,0.532,street,40.34918,-74.638797
"25 SPRING ST 303",PRINCETON,NJ,08542,0.92,range,40.351136,-74.65958
"177 JEFFERSON RD",PRINCETON,NJ,08540,0.965,range,40.359559,-74.659476
"89 BATTLE RD",PRINCETON,NJ,08540,0.965,range,40.335821,-74.670268
"73 RANDOM RD",PRINCETON,NJ,08540,0.965,range,40.363098,-74.632221
"5 HOLLY HSE J",PRINCETON,NJ,08540,0.545,street,40.322559,-74.683742
"104 GROVER AVE",PRINCETON,NJ,08540,0.965,range,40.363601,-74.647358
"21 BATTLE RD",PRINCETON,NJ,08540,0.965,range,40.33859,-74.667826
"33 LYTLE ST",PRINCETON,NJ,08542,1.0,range,40.355077,-74.662676
"4393 PROVINCELINE RD",PRINCETON,NJ,08540,0.868,street,40.312661,-74.695878
"6 SOUTHERN WAY",PRINCETON,NJ,08540,0.965,range,40.349279,-74.641793
"129 310 ELM RD",PRINCETON,NJ,08540,0.855,range,40.346378,-74.674635
"55 W CONSTITUTION HILL",PRINCETON,NJ,08540,0.931,range,40.344301,-74.67893
"11 WESTCOTT RD",PRINCETON,NJ,08540,0.965,range,40.35356,-74.66865
"583 EWING ST",PRINCETON,NJ,08540,0.965,range,40.368938,-74.658096
"20 CLEVELAND LN",PRINCETON,NJ,08540,0.965,range,40.352062,-74.668531
"38 MCCOMB RD",PRINCETON,NJ,08540,0.965,range,40.377729,-74.65272
"42 MURRAY PL",PRINCETON,NJ,08540,0.965,range,40.351289,-74.648811
"650 CHERRY HILL RD",PRINCETON,NJ,08540,0.965,range,40.381779,-74.677715
"20 HILLSIDE AVE",PRINCETON,NJ,08540,0.965,range,40.387842,-74.658396
"8 HAMILTON AVE",PRINCETON,NJ,08540,0.772,street,40.355208,-74.653419
"20 HILLSIDE AVE",PRINCETON,NJ,08540,0.965,range,40.387842,-74.658396
"834 PRINCETON-KINGSTON RD",PRINCETON,NJ,08540,0.965,range,40.365579,-74.627537
"22 GROVER AVE",PRINCETON,NJ,08540,0.965,range,40.361643,-74.645359
"51 DAVID BREARLEY CT",PRINCETON,NJ,08540,0.946,range,40.387521,-74.659488
"10 PELHAM ST",PRINCETON,NJ,08540,0.965,range,40.352705,-74.644268
"24 JUNIPER ROW",PRINCETON,NJ,08540,0.965,range,40.376074,-74.651538
