row_id,zone,acreage,cluster_zone,residential,full_address,geocode_score,geocode_precision,latitude,longitude
18,R5,0.69,,Y,"77 Adams Drive,Princeton,NJ",0.965,range,40.356549,-74.627709
19,R5,0.7,,Y,"101 Adams Drive,Princeton,NJ",0.965,range,40.357036,-74.627717
20,R5,0.46,,Y,"83 Adams Drive,Princeton,NJ",0.965,range,40.356671,-74.627711
21,R5,0.5,,Y,"113 Adams Drive,Princeton,NJ",0.965,range,40.357279,-74.627721
22,R5,0.97,,Y,"41 Adams Drive,Princeton,NJ",0.965,range,40.356211,-74.628582
24,R5,0.59,,Y,"21 Adams Drive,Princeton,NJ",0.965,range,40.356198,-74.628987
25,R5,0.59,,Y,"09 Adams Drive,Princeton,NJ",3,StreetSegmentInterpolation,40.35623475,-74.62910845
26,R5,0.61,,Y,"91 Adams Drive,Princeton,NJ",0.965,range,40.356833,-74.627714
27,R5,0.59,,Y,"61 Adams Drive,Princeton,NJ",0.965,range,40.35625,-74.627805
28,R5,0.69,,Y,"71 Adams Drive,Princeton,NJ",0.965,range,40.356427,-74.627707
29,R5,0.59,,Y,"51 Adams Drive,Princeton,NJ",2,Parcel,40.35667147,-74.62724829
30,R5,0.54,,Y,"88 Adams Drive,Princeton,NJ",2,Parcel,40.35701474,-74.62865514
31,R5,0.53,,Y,"20 Adams Drive,Princeton,NJ",0.965,range,40.356196,-74.629024
32,R5,0.52,,Y,"56 Adams Drive,Princeton,NJ",0.965,range,40.356221,-74.627942
33,R5,0.56,,Y,"38 Adams Drive,Princeton,NJ",0.965,range,40.356209,-74.628655
35,R5,0.54,,Y,"10 Adams Drive,Princeton,NJ",2,Parcel,40.3564776,-74.62906722
37,R-3,0.11,,Y,"17 Aiken Avenue,Princeton,NJ",2,Parcel,40.35151704,-74.64790041
38,R-3,0.11,,Y,"15 Aiken Avenue,Princeton,NJ",0.965,range,40.351711,-74.648418
40,R-3,0.29,,Y,"18 Aiken Avenue,Princeton,NJ",0.965,range,40.35175,-74.64835
41,R-3,0.16,,Y,"14 Aiken Avenue,Princeton,NJ",0.965,range,40.351671,-74.648486
42,R-3,0.16,,Y,"12 Aiken Avenue,Princeton,NJ",0.965,range,40.351632,-74.648553
43,R-3,0.02,,Y,"12 Aiken Avenue,Princeton,NJ",0.965,range,40.351632,-74.648553
44,R-3,0.23,,Y,"49 Aiken Avenue,Princeton,NJ",0.965,range,40.35221,-74.647202
45,R-3,0.19,,Y,"48 Aiken Avenue,Princeton,NJ",0.965,range,40.352196,-74.647227
48,R-3,0.13,,Y,"51 Aiken Avenue,Princeton,NJ",2,Parcel,40.35223635,-74.64627758
49,R-3,0.09,,Y,"52 Aiken Avenue,Princeton,NJ",2,Parcel,40.3527624,-74.64655802
51,R-3,0.14,,Y,"56 Aiken Avenue,Princeton,NJ",2,Parcel,40.35283764,-74.64641262
57,S1,0.14,,N,"168 Alexander Street,Princeton,NJ",2,Parcel,40.34105846,-74.658998
63,S1,0.25,,N,"118 Alexander Street,Princeton,NJ",3,StreetSegmentInterpolation,40.34211223,-74.66011518
64,S1,0.17,,N,"126 Alexander Street,Princeton,NJ",2,Parcel,40.34227049,-74.65994197
65,S1,0.13,,N,"130 Alexander Street,Princeton,NJ",3,StreetSegmentInterpolation,40.33941675,-74.65801026
66,S1,0.12,,N,"134 Alexander Street,Princeton,NJ",2,Parcel,40.34199093,-74.65972447
67,S1,0.15,,N,"144 Alexander Street,Princeton,NJ",2,Parcel,40.34174036,-74.65952949
70,S1,0.23,,N,"162 Alexander Street,Princeton,NJ",2,Parcel,40.34121011,-74.65911698
71,S1,0.18,,N,"138 Alexander Street,Princeton,NJ",3,StreetSegmentInterpolation,40.34213189,-74.66013026
72,S1,0.21,,N,"172 Alexander Street,Princeton,NJ",2,Parcel,40.34091795,-74.65888964
73,S1,0.29,,N,"180 Alexander Street,Princeton,NJ",2,Parcel,40.34071898,-74.65873492
74,S1,0.15,,N,"184 Alexander Street,Princeton,NJ",2,Parcel,40.3405437,-74.6585984
75,S1,0.15,,N,"188 Alexander Street,Princeton,NJ",2,Parcel,40.34042572,-74.65850666
76,S1,0.76,,N,"194 Alexander Street,Princeton,NJ",2,Parcel,40.3400682,-74.65822849
77,S1,0.12,,N,"212 Alexander Street,Princeton,NJ",2,Parcel,40.33972324,-74.6579601
78,S1,0.25,,N,"216 Alexander Street,Princeton,NJ",2,Parcel,40.33957875,-74.65784696
79,S1,0.69,,N,"228 Alexander Street,Princeton,NJ",2,Parcel,40.33920926,-74.6575603
80,S1,0.25,,N,"242 Alexander Street,Princeton,NJ",2,Parcel,40.33881474,-74.65729664
81,S1,0.46,,N,"252 Alexander Street,Princeton,NJ",2,Parcel,40.3385738,-74.65704221
83,S1,0.15,,N,"156 Alexander Street,Princeton,NJ",2,Parcel,40.34136349,-74.6592363
84,S1,0.16,,N,"148 Alexander Street,Princeton,NJ",2,Parcel,40.34162298,-74.65943821
93,R9,0.22,,Y,"441 Alexander Street,Princeton,NJ",2,Parcel,40.33269941,-74.65492806
94,R9,0.17,,Y,"435 Alexander Street,Princeton,NJ",0.652,street,40.331806,-74.652389
96,S1,0.32,,N,"278 Alexander Street,Princeton,NJ",2,Parcel,40.33785891,-74.65649661
97,S1,0.15,,N,"282 Alexander Street,Princeton,NJ",2,Parcel,40.33768793,-74.65636321
98,S1,0.16,,N,"286 Alexander Street,Princeton,NJ",2,Parcel,40.33757009,-74.65627121
99,S1,0.16,,N,"270 Alexander Street,Princeton,NJ",2,Parcel,40.33802689,-74.65664157
100,S1,0.16,,N,"290 Alexander Street,Princeton,NJ",2,Parcel,40.33745226,-74.6561792
101,S1,0.16,,N,"294 Alexander Street,Princeton,NJ",2,Parcel,40.33733442,-74.65608721
102,S1,0.5,,N,"306 Alexander Street,Princeton,NJ",2,Parcel,40.33709855,-74.65590301
103,S1,1.68,,N,"332 Alexander Street,Princeton,NJ",2,Parcel,40.33632905,-74.65530214
104,S1,0.38,,N,"272 Alexander Street,Princeton,NJ",3,StreetSegmentInterpolation,40.33528428,-74.65481099
107,S1,1.01,,N,"370 Alexander Street,Princeton,NJ",2,Parcel,40.3353868,-74.65456638
108,S1,0.66,,N,"378 Alexander Street,Princeton,NJ",2,Parcel,40.33482867,-74.65412487
109,0.09,E-4MP,,N,"15 Alexander Street,Princeton,NJ",2,Parcel,40.34597602,-74.66398337
110,0.04,R-3MP,,N,"80 Alexander Street,Princeton,NJ",0.92,range,40.343833,-74.661593
111,0.15,R-3MP,,N,"31 Alexander Street,Princeton,NJ",0.965,range,40.345969,-74.663469
112,0,R-3MP,,N,"31 Alexander Street,Princeton,NJ",0.965,range,40.345969,-74.663469
113,0.24,R-3MP,,N,"29 Alexander Street,Princeton,NJ",2,Parcel,40.34567082,-74.66345399
114,0.16,R-3MP,,N,"27 Alexander Street,Princeton,NJ",2,Parcel,40.34576176,-74.66365386
115,0.09,R-3MP,,N,"17 Alexander Street,Princeton,NJ",0.965,range,40.346267,-74.663972
116,0.16,R-3MP,,N,"25 Alexander Street,Princeton,NJ",0.965,range,40.346097,-74.663685
117,0.1,E-4MP,,N,"11 Alexander Street,Princeton,NJ",2,Parcel,40.34609454,-74.66409736
120,0.24,R-3MP,,N,"19 Alexander Street,Princeton,NJ",0.965,range,40.346224,-74.663901
121,0.09,R-3MP,,N,"14 Alexander Street,Princeton,NJ",0.965,range,40.346352,-74.664116
122,0.15,R-3MP,,N,"16 Alexander Street,Princeton,NJ",2,Parcel,40.34649324,-74.66344094
123,0.18,R-3MP,,N,"20 Alexander Street,Princeton,NJ",2,Parcel,40.34627245,-74.66339948
124,0.13,R-3MP,,N,"22 Alexander Street,Princeton,NJ",0.965,range,40.346182,-74.663829
126,0.21,R-3MP,,N,"14 Alexander Street,Princeton,NJ",0.965,range,40.346352,-74.664116
129,0.16,R-3,,N,"75 Alexander Street,Princeton,NJ",0.868,street,40.34415,-74.661781
130,1.53,R-3,,N,"79 Alexander Street,Princeton,NJ",2,Parcel,40.34342217,-74.66200249
131,0.52,R-3,,N,"99 Alexander Street,Princeton,NJ",2,Parcel,40.34285337,-74.66158549
