RowID,Block,Lot,Zone,AcreageInFractions,AddressNumber,StreetWithoutNumber,ClustrZone,HPC,Conforming,C1,Boro,CleanNumber,Residential,Fixups,FullAddress,geocode_score,geocode_precision,latitude,longitude
18,6001,13,R5,0.69,77,ADAMS DR,,FALSE,TRUE,,,77,Y,,"77 Adams Drive,Princeton,NJ",0.965,range,40.356549,-74.627709
19,6001,17,R5,0.7,101,ADAMS DR,,FALSE,TRUE,,,101,Y,,"101 Adams Drive,Princeton,NJ",0.965,range,40.357036,-74.627717
20,6001,15,R5,0.46,83,ADAMS DR,,FALSE,FALSE,,,83,Y,,"83 Adams Drive,Princeton,NJ",0.965,range,40.356671,-74.627711
21,6001,18,R5,0.5,113,ADAMS DR,,FALSE,TRUE,,,113,Y,,"113 Adams Drive,Princeton,NJ",0.965,range,40.357279,-74.627721
22,6001,9,R5,0.97,41,ADAMS DR,,FALSE,TRUE,,,41,Y,,"41 Adams Drive,Princeton,NJ",0.965,range,40.356211,-74.628582
24,6001,7,R5,0.59,21,ADAMS DR,,FALSE,TRUE,,,21,Y,,"21 Adams Drive,Princeton,NJ",0.965,range,40.356198,-74.628987
25,6001,6,R5,0.59,9,ADAMS DR,,FALSE,TRUE,,,9,Y,,"09 Adams Drive,Princeton,NJ",3,StreetSegmentInterpolation,40.35623475,-74.62910845
26,6001,16,R5,0.61,91,ADAMS DR,,FALSE,TRUE,,,91,Y,,"91 Adams Drive,Princeton,NJ",0.965,range,40.356833,-74.627714
27,6001,11,R5,0.59,61,ADAMS DR,,FALSE,TRUE,,,61,Y,,"61 Adams Drive,Princeton,NJ",0.965,range,40.35625,-74.627805
28,6001,12,R5,0.69,71,ADAMS DR,,FALSE,TRUE,,,71,Y,,"71 Adams Drive,Princeton,NJ",0.965,range,40.356427,-74.627707
29,6001,10,R5,0.59,51,ADAMS DR,,FALSE,TRUE,,,51,Y,,"51 Adams Drive,Princeton,NJ",2,Parcel,40.35667147,-74.62724829
30,6002,7,R5,0.54,88,ADAMS DR,,FALSE,TRUE,,,88,Y,,"88 Adams Drive,Princeton,NJ",2,Parcel,40.35701474,-74.62865514
