RowID,Block,Lot,Zone,AcreageInFractions,AddressNumber,StreetWithoutNumber,ClustrZone,HPC,Conforming,C1,Boro,CleanNumber,Residential,Fixups,FullAddress,geocode_score,geocode_precision,latitude,longitude
18,6001,13,R5,.69,77,"ADAMS DR",,FALSE,TRUE,,,77,TRUE,,"77 Adams Drive,Princeton,NJ",0.965,range,40.356549,-74.627709
19,6001,17,R5,.70,101,"ADAMS DR",,FALSE,TRUE,,,101,TRUE,,"101 Adams Drive,Princeton,NJ",0.965,range,40.357036,-74.627717
20,6001,15,R5,.46,83,"ADAMS DR",,FALSE,FALSE,,,83,TRUE,,"83 Adams Drive,Princeton,NJ",0.965,range,40.356671,-74.627711
21,6001,18,R5,.50,113,"ADAMS DR",,FALSE,TRUE,,,113,TRUE,,"113 Adams Drive,Princeton,NJ",0.965,range,40.357279,-74.627721
22,6001,9,R5,.97,41,"ADAMS DR",,FALSE,TRUE,,,41,TRUE,,"41 Adams Drive,Princeton,NJ",0.965,range,40.356211,-74.628582
23,6001,8,R5,1.11,31,"ADAMS DR",,FALSE,TRUE,,,31,TRUE,,"31 Adams Drive,Princeton,NJ",0.965,0.965,range,range
24,6001,7,R5,.59,21,"ADAMS DR",,FALSE,TRUE,,,21,TRUE,,"21 Adams Drive,Princeton,NJ",0.965,range,40.356198,-74.628987
25,6001,6,R5,.59,09,"ADAMS DR",,FALSE,TRUE,,,09,TRUE,,"09 Adams Drive,Princeton,NJ",,,,
26,6001,16,R5,.61,91,"ADAMS DR",,FALSE,TRUE,,,91,TRUE,,"91 Adams Drive,Princeton,NJ",0.965,range,40.356833,-74.627714
27,6001,11,R5,.59,61,"ADAMS DR",,FALSE,TRUE,,,61,TRUE,,"61 Adams Drive,Princeton,NJ",0.965,range,40.35625,-74.627805
28,6001,12,R5,.69,71,"ADAMS DR",,FALSE,TRUE,,,71,TRUE,,"71 Adams Drive,Princeton,NJ",0.965,range,40.356427,-74.627707
29,6001,10,R5,.59,51,"ADAMS DR",,FALSE,TRUE,,,51,TRUE,,"51 Adams Drive,Princeton,NJ",,,,
30,6002,7,R5,.54,88,"ADAMS DR",,FALSE,TRUE,,,88,TRUE,,"88 Adams Drive,Princeton,NJ",,,,
31,6002,4,R5,.53,20,"ADAMS DR",,FALSE,TRUE,,,20,TRUE,,"20 Adams Drive,Princeton,NJ",0.965,range,40.356196,-74.629024
32,6002,2,R5,.52,56,"ADAMS DR",,FALSE,TRUE,,,56,TRUE,,"56 Adams Drive,Princeton,NJ",0.965,range,40.356221,-74.627942
33,6002,3,R5,.56,38,"ADAMS DR",,FALSE,TRUE,,,38,TRUE,,"38 Adams Drive,Princeton,NJ",0.965,range,40.356209,-74.628655
34,6002,1,R5,.56,72,"ADAMS DR",,FALSE,TRUE,,,72,TRUE,,"72 Adams Drive,Princeton,NJ",0.965,0.965,range,range
35,6002,5,R5,.54,10,"ADAMS DR",,FALSE,TRUE,,,10,TRUE,,"10 Adams Drive,Princeton,NJ",,,,
37,51.01,27,R-3,.11,17,"AIKEN AVE",,FALSE,FALSE,,yes,17,TRUE,,"17 Aiken Avenue,Princeton,NJ",,,,
38,51.01,26,R-3,.11,15,"AIKEN AVE",,FALSE,FALSE,,yes,15,TRUE,,"15 Aiken Avenue,Princeton,NJ",0.965,range,40.351711,-74.648418
39,51.01,25,R-3,.23,9-11,"AIKEN AVE",,FALSE,FALSE,,yes,9,TRUE,,"9 Aiken Avenue,Princeton,NJ",,,,
40,51.02,50,R-3,.29,18,"AIKEN AVE",,FALSE,FALSE,,yes,18,TRUE,,"18 Aiken Avenue,Princeton,NJ",0.965,range,40.35175,-74.64835
41,51.02,51,R-3,.16,14,"AIKEN AVE",,FALSE,FALSE,,yes,14,TRUE,,"14 Aiken Avenue,Princeton,NJ",0.965,range,40.351671,-74.648486
42,51.02,52,R-3,.16,12,"AIKEN AVE",,FALSE,FALSE,,yes,12,TRUE,,"12 Aiken Avenue,Princeton,NJ",0.965,range,40.351632,-74.648553
43,51.02,54,R-3,.02,12,"AIKEN AVE",,FALSE,FALSE,,yes,12,TRUE,,"12 Aiken Avenue,Princeton,NJ",0.965,range,40.351632,-74.648553
44,52.01,6,R-3,.23,49,"AIKEN AVE",,FALSE,FALSE,,yes,49,TRUE,,"49 Aiken Avenue,Princeton,NJ",0.965,range,40.35221,-74.647202
45,52.01,86,R-3,.19,48,"AIKEN AVE",,FALSE,FALSE,,yes,48,TRUE,,"48 Aiken Avenue,Princeton,NJ",0.965,range,40.352196,-74.647227
